%time,field.clock
14792000000,14728000000
14792000000,14729000000
14792000000,14730000000
14792000000,14731000000
14792000000,14732000000
14792000000,14733000000
14792000000,14734000000
14792000000,14735000000
14792000000,14736000000
14792000000,14737000000
14792000000,14738000000
14792000000,14739000000
14792000000,14740000000
14792000000,14741000000
14792000000,14742000000
14792000000,14743000000
14792000000,14744000000
14792000000,14745000000
14792000000,14746000000
14792000000,14747000000
14792000000,14748000000
14792000000,14749000000
14792000000,14750000000
14792000000,14751000000
14792000000,14752000000
14792000000,14753000000
14792000000,14754000000
14792000000,14755000000
14792000000,14756000000
14792000000,14757000000
14793000000,14758000000
14793000000,14759000000
14793000000,14760000000
14793000000,14761000000
14793000000,14762000000
14793000000,14763000000
14793000000,14764000000
14793000000,14765000000
14793000000,14766000000
14793000000,14767000000
14793000000,14768000000
14793000000,14769000000
14793000000,14770000000
14793000000,14771000000
14793000000,14772000000
14793000000,14773000000
14793000000,14774000000
14793000000,14775000000
14793000000,14776000000
14793000000,14777000000
14793000000,14778000000
14793000000,14779000000
14793000000,14780000000
14793000000,14781000000
14793000000,14782000000
14793000000,14783000000
14793000000,14784000000
14793000000,14785000000
14793000000,14786000000
14793000000,14787000000
14793000000,14788000000
14793000000,14789000000
14793000000,14790000000
14794000000,14791000000
14794000000,14792000000
14794000000,14793000000
14794000000,14794000000
14795000000,14795000000
14796000000,14796000000
14797000000,14797000000
14798000000,14798000000
14799000000,14799000000
14800000000,14800000000
14800000000,14801000000
14802000000,14802000000
14803000000,14803000000
14804000000,14804000000
14805000000,14805000000
14805000000,14806000000
14807000000,14807000000
14808000000,14808000000
14809000000,14809000000
14810000000,14810000000
14811000000,14811000000
14812000000,14812000000
14813000000,14813000000
14814000000,14814000000
14815000000,14815000000
14816000000,14816000000
14817000000,14817000000
14818000000,14818000000
14819000000,14819000000
14820000000,14820000000
14821000000,14821000000
14822000000,14822000000
14823000000,14823000000
14824000000,14824000000
14825000000,14825000000
14826000000,14826000000
14827000000,14827000000
14828000000,14828000000
14829000000,14829000000
14830000000,14830000000
14831000000,14831000000
14832000000,14832000000
14832000000,14833000000
14834000000,14834000000
14835000000,14835000000
14836000000,14836000000
14837000000,14837000000
14838000000,14838000000
14839000000,14839000000
14840000000,14840000000
14841000000,14841000000
14842000000,14842000000
14843000000,14843000000
14844000000,14844000000
14845000000,14845000000
14846000000,14846000000
14847000000,14847000000
14848000000,14848000000
14849000000,14849000000
14850000000,14850000000
14851000000,14851000000
14852000000,14852000000
14853000000,14853000000
14854000000,14854000000
14855000000,14855000000
14856000000,14856000000
14857000000,14857000000
14858000000,14858000000
14859000000,14859000000
14860000000,14860000000
14861000000,14861000000
14862000000,14862000000
14863000000,14863000000
14864000000,14864000000
14865000000,14865000000
14866000000,14866000000
14867000000,14867000000
14868000000,14868000000
14868000000,14869000000
14870000000,14870000000
14871000000,14871000000
14872000000,14872000000
14873000000,14873000000
14874000000,14874000000
14875000000,14875000000
14876000000,14876000000
14877000000,14877000000
14878000000,14878000000
14879000000,14879000000
14880000000,14880000000
14880000000,14881000000
14882000000,14882000000
14883000000,14883000000
14884000000,14884000000
14885000000,14885000000
14886000000,14886000000
14887000000,14887000000
14888000000,14888000000
14889000000,14889000000
14890000000,14890000000
14891000000,14891000000
14892000000,14892000000
14892000000,14893000000
14894000000,14894000000
14895000000,14895000000
14895000000,14896000000
14897000000,14897000000
14897000000,14898000000
14898000000,14899000000
14900000000,14900000000
14900000000,14901000000
14902000000,14902000000
14903000000,14903000000
14904000000,14904000000
14905000000,14905000000
14906000000,14906000000
14907000000,14907000000
14907000000,14908000000
14908000000,14909000000
14909000000,14910000000
14911000000,14911000000
14912000000,14912000000
14913000000,14913000000
14914000000,14914000000
14915000000,14915000000
14916000000,14916000000
14916000000,14917000000
14918000000,14918000000
14919000000,14919000000
14919000000,14920000000
14920000000,14921000000
14922000000,14922000000
14923000000,14923000000
14923000000,14924000000
14924000000,14925000000
14926000000,14926000000
14927000000,14927000000
14927000000,14928000000
14929000000,14929000000
14930000000,14930000000
14931000000,14931000000
14932000000,14932000000
14933000000,14933000000
14934000000,14934000000
14935000000,14935000000
14936000000,14936000000
14937000000,14937000000
14937000000,14938000000
14938000000,14939000000
14939000000,14940000000
14940000000,14941000000
14942000000,14942000000
14943000000,14943000000
14944000000,14944000000
14945000000,14945000000
14946000000,14946000000
14947000000,14947000000
14948000000,14948000000
14949000000,14949000000
14950000000,14950000000
14951000000,14951000000
14952000000,14952000000
14953000000,14953000000
14954000000,14954000000
14955000000,14955000000
14956000000,14956000000
14956000000,14957000000
14958000000,14958000000
14959000000,14959000000
14960000000,14960000000
14961000000,14961000000
14961000000,14962000000
14962000000,14963000000
14964000000,14964000000
14965000000,14965000000
14966000000,14966000000
14967000000,14967000000
14968000000,14968000000
14969000000,14969000000
14970000000,14970000000
14971000000,14971000000
14972000000,14972000000
14972000000,14973000000
14974000000,14974000000
14974000000,14975000000
14976000000,14976000000
14976000000,14977000000
14978000000,14978000000
14979000000,14979000000
14980000000,14980000000
14981000000,14981000000
14982000000,14982000000
14983000000,14983000000
14984000000,14984000000
14985000000,14985000000
14986000000,14986000000
14987000000,14987000000
14988000000,14988000000
14989000000,14989000000
14990000000,14990000000
14991000000,14991000000
14992000000,14992000000
14993000000,14993000000
14994000000,14994000000
14995000000,14995000000
14996000000,14996000000
14997000000,14997000000
14998000000,14998000000
14999000000,14999000000
15000000000,15000000000
15001000000,15001000000
15002000000,15002000000
15003000000,15003000000
15004000000,15004000000
15005000000,15005000000
15006000000,15006000000
15007000000,15007000000
15008000000,15008000000
15009000000,15009000000
15010000000,15010000000
15011000000,15011000000
15012000000,15012000000
15013000000,15013000000
15014000000,15014000000
15015000000,15015000000
15016000000,15016000000
15017000000,15017000000
15018000000,15018000000
15019000000,15019000000
15020000000,15020000000
15021000000,15021000000
15022000000,15022000000
15023000000,15023000000
15024000000,15024000000
15025000000,15025000000
15026000000,15026000000
15027000000,15027000000
15028000000,15028000000
15029000000,15029000000
15030000000,15030000000
15031000000,15031000000
15032000000,15032000000
15033000000,15033000000
15034000000,15034000000
15035000000,15035000000
15036000000,15036000000
15037000000,15037000000
15038000000,15038000000
15039000000,15039000000
15040000000,15040000000
15041000000,15041000000
15042000000,15042000000
15043000000,15043000000
15044000000,15044000000
15045000000,15045000000
15046000000,15046000000
15047000000,15047000000
15048000000,15048000000
15049000000,15049000000
15050000000,15050000000
15051000000,15051000000
15052000000,15052000000
15053000000,15053000000
15054000000,15054000000
15055000000,15055000000
15056000000,15056000000
15057000000,15057000000
15058000000,15058000000
15059000000,15059000000
15060000000,15060000000
15061000000,15061000000
15062000000,15062000000
15063000000,15063000000
15064000000,15064000000
15065000000,15065000000
15066000000,15066000000
15067000000,15067000000
15068000000,15068000000
15069000000,15069000000
15070000000,15070000000
15071000000,15071000000
15072000000,15072000000
15073000000,15073000000
15074000000,15074000000
15075000000,15075000000
15076000000,15076000000
15077000000,15077000000
15078000000,15078000000
15079000000,15079000000
15080000000,15080000000
15081000000,15081000000
15082000000,15082000000
15083000000,15083000000
15084000000,15084000000
15084000000,15085000000
15086000000,15086000000
15087000000,15087000000
15088000000,15088000000
15089000000,15089000000
15090000000,15090000000
15091000000,15091000000
15092000000,15092000000
15093000000,15093000000
15094000000,15094000000
15095000000,15095000000
15096000000,15096000000
15097000000,15097000000
15098000000,15098000000
15099000000,15099000000
15100000000,15100000000
15101000000,15101000000
15101000000,15102000000
15103000000,15103000000
15104000000,15104000000
15105000000,15105000000
15106000000,15106000000
15107000000,15107000000
15108000000,15108000000
15109000000,15109000000
15110000000,15110000000
15111000000,15111000000
15112000000,15112000000
15113000000,15113000000
15114000000,15114000000
15114000000,15115000000
15116000000,15116000000
15116000000,15117000000
15118000000,15118000000
15119000000,15119000000
15120000000,15120000000
15121000000,15121000000
15122000000,15122000000
15123000000,15123000000
15124000000,15124000000
15125000000,15125000000
15126000000,15126000000
15126000000,15127000000
15128000000,15128000000
15129000000,15129000000
15130000000,15130000000
15131000000,15131000000
15132000000,15132000000
15133000000,15133000000
15133000000,15134000000
15134000000,15135000000
15136000000,15136000000
15136000000,15137000000
15138000000,15138000000
15139000000,15139000000
15140000000,15140000000
15141000000,15141000000
15142000000,15142000000
15143000000,15143000000
15144000000,15144000000
15145000000,15145000000
15146000000,15146000000
15147000000,15147000000
15148000000,15148000000
15149000000,15149000000
15150000000,15150000000
15151000000,15151000000
15152000000,15152000000
15153000000,15153000000
15154000000,15154000000
15155000000,15155000000
15156000000,15156000000
15157000000,15157000000
